HLCIT_CODE_DIST,DISTRICT,HLCIT_CODE_VDC,VDC_MUNICIPALITY,Sum of HOUSEHOLD
524 1 03 13,Okhaldhunga,524 1 03 13 5 049,Raniban,289
524 1 03 13,Okhaldhunga,524 1 03 13 5 050,Singhadevi,99
524 1 03 13,Okhaldhunga,524 1 03 13 5 051,Tarkerabari,142
524 1 03 13,Okhaldhunga,524 1 03 13 5 052,Yasam,235
524 1 03 13,Okhaldhunga,524 1 03 13 5 053,Pokali,523
524 1 03 13,Okhaldhunga,524 1 03 13 5 054,Andheri Narayansthan,393
524 1 03 13,Okhaldhunga,524 1 03 13 5 055,Khigikati,311
524 1 03 13,Okhaldhunga,524 1 03 13 5 056,Ketuke,593
524 2 04 21,Ramechhap,524 2 04 21 5 001,Ramechhap,518
524 2 04 21,Ramechhap,524 2 04 21 5 002,Kathjor,236
524 2 04 21,Ramechhap,524 2 04 21 5 003,Salu,600
524 2 04 21,Ramechhap,524 2 04 21 5 005,Okhreni,632
524 2 04 21,Ramechhap,524 2 04 21 5 006,Deurali,383
524 2 04 21,Ramechhap,524 2 04 21 5 007,Himganga,365
524 2 04 21,Ramechhap,524 2 04 21 5 008,Rampur,334
524 2 04 21,Ramechhap,524 2 04 21 5 009,Sanghutar,16
524 2 04 21,Ramechhap,524 2 04 21 5 010,Sukajor,341
524 2 04 21,Ramechhap,524 2 04 21 5 011,Bhujee,538
524 2 04 21,Ramechhap,524 2 04 21 5 012,Bijulikot,862
524 2 04 21,Ramechhap,524 2 04 21 5 013,Duragaun,652
524 2 04 21,Ramechhap,524 2 04 21 5 014,Gothgaun,336
524 2 04 21,Ramechhap,524 2 04 21 5 015,Gupteshwor,361
524 2 04 21,Ramechhap,524 2 04 21 5 016,Pritee,1128
524 2 04 21,Ramechhap,524 2 04 21 5 017,Saipu,303
524 2 04 21,Ramechhap,524 2 04 21 5 018,Bamti Bhandar,739
524 2 04 21,Ramechhap,524 2 04 21 5 019,Chuchure,585
524 2 04 21,Ramechhap,524 2 04 21 5 020,Gumdel,497
524 2 04 21,Ramechhap,524 2 04 21 5 021,Kubukasthali,606
524 2 04 21,Ramechhap,524 2 04 21 5 022,Rasanalu,1026
524 2 04 21,Ramechhap,524 2 04 21 5 023,Those,606
524 2 04 21,Ramechhap,524 2 04 21 5 024,Betali,739
524 2 04 21,Ramechhap,524 2 04 21 5 025,Khimti,518
524 2 04 21,Ramechhap,524 2 04 21 5 026,Nagdaha,777
524 2 04 21,Ramechhap,524 2 04 21 5 027,Namadi,827
524 2 04 21,Ramechhap,524 2 04 21 5 028,Farpu,403
524 2 04 21,Ramechhap,524 2 04 21 5 029,Tilpung,268
524 2 04 21,Ramechhap,524 2 04 21 5 031,Bhaluwajor,374
524 2 04 21,Ramechhap,524 2 04 21 5 032,Bethan,561
524 2 04 21,Ramechhap,524 2 04 21 5 033,Dimipokhari,726
524 2 04 21,Ramechhap,524 2 04 21 5 034,Gunsi Bhadaure,662
524 2 04 21,Ramechhap,524 2 04 21 5 035,Hiledevi,631
524 2 04 21,Ramechhap,524 2 04 21 5 036,Khaniyapani,558
524 2 04 21,Ramechhap,524 2 04 21 5 037,Lakhanpur,1196
524 2 04 21,Ramechhap,524 2 04 21 5 038,Khandadevi,740
524 2 04 21,Ramechhap,524 2 04 21 5 039,Makadum,180
524 2 04 21,Ramechhap,524 2 04 21 5 040,Majuwa,295
524 2 04 21,Ramechhap,524 2 04 21 5 041,Pakarbas,265
524 2 04 21,Ramechhap,524 2 04 21 5 042,Rakathum,186
524 2 04 21,Ramechhap,524 2 04 21 5 043,Bhirpani,217
524 2 04 21,Ramechhap,524 2 04 21 5 044,Gagal Bhadaure,327
524 2 04 21,Ramechhap,524 2 04 21 5 046,Chanakhu,152
524 2 04 21,Ramechhap,524 2 04 21 5 048,Pinkhuri,234
524 2 04 21,Ramechhap,524 2 04 21 5 049,Puranagaun,200
524 2 04 21,Ramechhap,524 2 04 21 5 050,Dadhuwa,1016
524 2 04 21,Ramechhap,524 2 04 21 5 051,Doramba,794
524 2 04 21,Ramechhap,524 2 04 21 5 052,Gelu,456
524 2 04 21,Ramechhap,524 2 04 21 5 053,Goswara,770
524 2 04 21,Ramechhap,524 2 04 21 5 054,Phulasi,983
524 2 04 21,Ramechhap,524 2 04 21 5 055,Tokarpur,646
524 2 05 29,Rasuwa,524 2 05 29 5 001,Haku,443
524 2 05 29,Rasuwa,524 2 05 29 5 002,Dhunche,714
524 2 05 29,Rasuwa,524 2 05 29 5 003,Yarsa,820
524 2 05 29,Rasuwa,524 2 05 29 5 004,Saramthali,821
524 2 05 29,Rasuwa,524 2 05 29 5 005,Bhorle,652
524 2 05 29,Rasuwa,524 2 05 29 5 006,Dhaibung,836
524 2 05 29,Rasuwa,524 2 05 29 5 007,Laharepouwa,453
524 2 05 29,Rasuwa,524 2 05 29 5 008,Ramche,489
524 2 05 29,Rasuwa,524 2 05 29 5 009,Dandagoun,437
524 2 05 29,Rasuwa,524 2 05 29 5 010,Thulogoun,50
524 2 05 29,Rasuwa,524 2 05 29 5 011,Gatlang,400
524 2 05 29,Rasuwa,524 2 05 29 5 012,Chilime,340
524 2 05 29,Rasuwa,524 2 05 29 5 013,Timure,130
524 2 05 29,Rasuwa,524 2 05 29 5 014,Thuman,239
524 2 05 29,Rasuwa,524 2 05 29 5 015,Langtang,152
524 2 05 29,Rasuwa,524 2 05 29 5 016,Bridhim,161
524 2 05 29,Rasuwa,524 2 05 29 5 017,Syafru,621
524 2 05 29,Rasuwa,524 2 05 29 5 018,Goljung,269
524 2 04 20,Sindhuli,524 2 04 20 3 001,Kamalamai Municipality,148
524 2 04 20,Sindhuli,524 2 04 20 5 001,Khang Sang,167
524 2 04 20,Sindhuli,524 2 04 20 5 002,Kholagaun,391
524 2 04 20,Sindhuli,524 2 04 20 5 003,Mahadevdada,657
524 2 04 20,Sindhuli,524 2 04 20 5 004,Ratnawati,435
524 2 04 20,Sindhuli,524 2 04 20 5 005,Solpathana,198
524 2 04 20,Sindhuli,524 2 04 20 5 006,Sunam Pokhari,178
524 2 04 20,Sindhuli,524 2 04 20 5 007,Arunthakur,321
524 2 04 20,Sindhuli,524 2 04 20 5 009,Kakur Thakur,145
524 2 04 20,Sindhuli,524 2 04 20 5 012,Bahuntilpung,312
524 2 04 20,Sindhuli,524 2 04 20 5 014,Jinakhu,462
524 2 04 20,Sindhuli,524 2 04 20 5 015,Lampantar,75
524 2 04 20,Sindhuli,524 2 04 20 5 017,Ambote,436
524 2 04 20,Sindhuli,524 2 04 20 5 018,Tosramkhola,234
524 2 04 20,Sindhuli,524 2 04 20 5 020,Ranichuri,589
524 2 04 20,Sindhuli,524 2 04 20 5 022,Bitijor Bagaiya,128
524 2 04 20,Sindhuli,524 2 04 20 5 023,Baseshwor,173
524 2 04 20,Sindhuli,524 2 04 20 5 024,Bhuwaneshori Gwaltar,62
524 2 04 20,Sindhuli,524 2 04 20 5 025,Dudbhanjyang,217
524 2 04 20,Sindhuli,524 2 04 20 5 026,Ratanchura,289
524 2 04 20,Sindhuli,524 2 04 20 5 027,Tinkanya,466
524 2 04 20,Sindhuli,524 2 04 20 5 028,Balajor,276
524 2 04 20,Sindhuli,524 2 04 20 5 030,Bhimsthan,105
524 2 04 20,Sindhuli,524 2 04 20 5 032,Jarayotar,115
524 2 04 20,Sindhuli,524 2 04 20 5 034,Bhadrakali,449
524 2 04 20,Sindhuli,524 2 04 20 5 035,Jalkanya,258
524 2 04 20,Sindhuli,524 2 04 20 5 036,Bhimeshwor,71
524 2 04 20,Sindhuli,524 2 04 20 5 038,Mahadevsthan,354
524 2 04 20,Sindhuli,524 2 04 20 5 040,Kapilakot,150
524 2 04 20,Sindhuli,524 2 04 20 5 044,Jhangajholi Ratmata,181
524 2 04 20,Sindhuli,524 2 04 20 5 045,Amale,158
524 2 04 20,Sindhuli,524 2 04 20 5 046,Bastipur,377
524 2 04 20,Sindhuli,524 2 04 20 5 047,Netrakali,367
524 2 04 20,Sindhuli,524 2 04 20 5 048,Santeswori  Rampur,170
524 2 04 20,Sindhuli,524 2 04 20 5 049,Tamajor,317
524 2 04 20,Sindhuli,524 2 04 20 5 050,Kuseswor Dumja,512
524 2 04 20,Sindhuli,524 2 04 20 5 051,Majhuwa,373
524 2 04 20,Sindhuli,524 2 04 20 5 052,Purano Jhangajholi,296
524 2 04 20,Sindhuli,524 2 04 20 5 053,Sitalpati,85
524 2 05 23,Sindhupalchowk,524 2 05 23 5 001,Karthali,765
524 2 05 23,Sindhupalchowk,524 2 05 23 5 002,Barhabise,742
524 2 05 23,Sindhupalchowk,524 2 05 23 5 003,Gati,874
524 2 05 23,Sindhupalchowk,524 2 05 23 5 004,Marming,718
524 2 05 23,Sindhupalchowk,524 2 05 23 5 005,Fulpingkatti,783
524 2 05 23,Sindhupalchowk,524 2 05 23 5 006,Tatopani,1733
524 2 05 23,Sindhupalchowk,524 2 05 23 5 007,Listikot,949
524 2 05 23,Sindhupalchowk,524 2 05 23 5 008,Dhumthang,851
524 2 05 23,Sindhupalchowk,524 2 05 23 5 009,Maneswnara,577
524 2 05 23,Sindhupalchowk,524 2 05 23 5 010,Petaku,324
524 2 05 23,Sindhupalchowk,524 2 05 23 5 011,Jethal,620
524 2 05 23,Sindhupalchowk,524 2 05 23 5 012,Tekanpur,151
524 2 05 23,Sindhupalchowk,524 2 05 23 5 013,Tauthali,642
524 2 05 23,Sindhupalchowk,524 2 05 23 5 014,Piskar,538
524 2 05 23,Sindhupalchowk,524 2 05 23 5 015,Dhuskun,637
524 2 05 23,Sindhupalchowk,524 2 05 23 5 016,Chokati,627
524 2 05 23,Sindhupalchowk,524 2 05 23 5 017,Ghorthali,465
524 2 05 23,Sindhupalchowk,524 2 05 23 5 018,Thokarpa,778
524 2 05 23,Sindhupalchowk,524 2 05 23 5 019,Kalika,61
524 2 05 23,Sindhupalchowk,524 2 05 23 5 020,Lisankhu,938
524 2 05 23,Sindhupalchowk,524 2 05 23 5 021,Thulo Dhading,445
524 2 05 23,Sindhupalchowk,524 2 05 23 5 022,Atarpur,464
524 2 05 23,Sindhupalchowk,524 2 05 23 5 023,Sunkhani,556
524 2 05 23,Sindhupalchowk,524 2 05 23 5 024,Yamunadanda,155
524 2 05 23,Sindhupalchowk,524 2 05 23 5 025,Thulo Pakhar,758
524 2 05 23,Sindhupalchowk,524 2 05 23 5 026,Thum Pakhar,614
524 2 05 23,Sindhupalchowk,524 2 05 23 5 027,Pagretar,116
524 2 05 23,Sindhupalchowk,524 2 05 23 5 028,Ramche,730
524 2 05 23,Sindhupalchowk,524 2 05 23 5 029,Mankha,618
524 2 05 23,Sindhupalchowk,524 2 05 23 5 030,Fulpingdanda,166
524 2 05 23,Sindhupalchowk,524 2 05 23 5 031,Gloche,731
524 2 05 23,Sindhupalchowk,524 2 05 23 5 032,Selang,526
524 2 05 23,Sindhupalchowk,524 2 05 23 5 033,Batase,766
524 2 05 23,Sindhupalchowk,524 2 05 23 5 034,Syaule Bazar,833
524 2 05 23,Sindhupalchowk,524 2 05 23 5 035,Chautara,1113
524 2 05 23,Sindhupalchowk,524 2 05 23 5 036,Pipaldanda,372
524 2 05 23,Sindhupalchowk,524 2 05 23 5 038,Irkhu,614
524 2 05 23,Sindhupalchowk,524 2 05 23 5 039,Sanusiruwari,148
524 2 05 23,Sindhupalchowk,524 2 05 23 5 040,Kadambas,353
524 2 05 23,Sindhupalchowk,524 2 05 23 5 041,Thulo Sirubari,439
524 2 05 23,Sindhupalchowk,524 2 05 23 5 042,Sangachok,588
524 2 05 23,Sindhupalchowk,524 2 05 23 5 044,Badegau,492
524 2 05 23,Sindhupalchowk,524 2 05 23 5 046,Kunchok,282
524 2 05 23,Sindhupalchowk,524 2 05 23 5 047,Sipal Kavre,536
524 2 05 23,Sindhupalchowk,524 2 05 23 5 048,Nawalpur,797
524 2 05 23,Sindhupalchowk,524 2 05 23 5 049,Fulpingkot,735
524 2 05 23,Sindhupalchowk,524 2 05 23 5 050,Jalbire,251
524 2 05 23,Sindhupalchowk,524 2 05 23 5 051,Hagam,818
524 2 05 23,Sindhupalchowk,524 2 05 23 5 053,Baramchi,646
524 2 05 23,Sindhupalchowk,524 2 05 23 5 054,Banskharka,588
524 2 05 23,Sindhupalchowk,524 2 05 23 5 055,Dubachour,1028
524 2 05 23,Sindhupalchowk,524 2 05 23 5 056,Palchok,489
524 2 05 23,Sindhupalchowk,524 2 05 23 5 057,Gumba,674
524 2 05 23,Sindhupalchowk,524 2 05 23 5 058,Ichok,1270
524 2 05 23,Sindhupalchowk,524 2 05 23 5 059,Mahankal,776
524 2 05 23,Sindhupalchowk,524 2 05 23 5 060,Talamarang,383
524 2 05 23,Sindhupalchowk,524 2 05 23 5 061,Melamchi,262
524 2 05 23,Sindhupalchowk,524 2 05 23 5 062,Sindhukot,508
524 2 05 23,Sindhupalchowk,524 2 05 23 5 063,Bhotechaur,605
524 2 05 23,Sindhupalchowk,524 2 05 23 5 064,Thampal Chhap,533
524 2 05 23,Sindhupalchowk,524 2 05 23 5 065,Helambu,656
524 2 05 23,Sindhupalchowk,524 2 05 23 5 066,Bansbari,265
524 2 05 23,Sindhupalchowk,524 2 05 23 5 067,Gunsakot,449
524 2 05 23,Sindhupalchowk,524 2 05 23 5 068,Thangpalkot,653
524 2 05 23,Sindhupalchowk,524 2 05 23 5 069,Bhotang,624
524 2 05 23,Sindhupalchowk,524 2 05 23 5 070,Baruwa,487
524 2 05 23,Sindhupalchowk,524 2 05 23 5 071,Thakani,718
524 2 05 23,Sindhupalchowk,524 2 05 23 5 072,Pangtang,453
524 2 05 23,Sindhupalchowk,524 2 05 23 5 073,Kiwool,764
524 2 05 23,Sindhupalchowk,524 2 05 23 5 075,Jyamire,900
524 2 05 23,Sindhupalchowk,524 2 05 23 5 076,Langarche,592
524 2 05 23,Sindhupalchowk,524 2 05 23 5 077,Bhote Namlang,639
524 2 05 23,Sindhupalchowk,524 2 05 23 5 079,Haibung,576
