dist_code,hlcit_code,district,vdc,priority,above_1500,num_hh_damage,pct_damage,target_hh,in_db,map_cd,census_hh_dmg,hh_above_1500,hh_below_1500
524 2 05 26,524 2 05 26 5 010,Bhaktapur,Sirutar,t,f,452,,,f,-4,,,2066
524 2 05 27,524 2 05 27 5 007,Kathmandu,Bhadrabas,t,f,130,,,f,-4,,,1006
524 2 05 27,524 2 05 27 5 010,Kathmandu,Gothatar,t,f,1720,,,f,-4,,,13498
524 2 05 27,524 2 05 27 5 020,Kathmandu,Khadka Bhadrakali,t,f,657,,,f,-4,,,5164
524 1 03 13,524 1 03 13 5 004,Okhaldhunga,Rumjatar,t,f,0,1,,f,-4,,,1502
524 2 04 20,524 2 04 20 5 011,Sindhuli,Tandi,t,f,0,1,,f,-4,,,3792
524 2 04 20,524 2 04 20 5 019,Sindhuli,Ranibas,t,f,268,,,f,-4,,,2220
524 2 05 23,524 2 05 23 5 043,Sindhupalchok,Bhotasipa,t,f,944,,,f,-4,,,1988
524 2 05 23,524 2 05 23 5 074,Sindhupalchok,Sikharpur,t,f,0,1,,f,-4,,,1166
524 2 05 23,524 2 05 23 5 078,Sindhupalchok,Fatakshila,t,f,0,1,,f,-4,,,1788
524 2 05 24,524 2 05 24 5 072,Kavrepalanchok,Mahadevsthan Mandan,t,f,2428,,,f,-4,,,3746
